Timestamp,Tag,Value,Unit,Quality
2024-01-01 00:00:00,PUMP101.VIBRATION_RMS,2.652,mm/s,GOOD
2024-01-01 06:00:00,PUMP101.VIBRATION_RMS,1.98,mm/s,GOOD
2024-01-01 12:00:00,PUMP101.VIBRATION_RMS,2.875,mm/s,GOOD
2024-01-01 18:00:00,PUMP101.VIBRATION_RMS,2.97,mm/s,GOOD
2024-01-02 00:00:00,PUMP101.VIBRATION_RMS,1.524,mm/s,GOOD
2024-01-02 06:00:00,PUMP101.VIBRATION_RMS,1.849,mm/s,GOOD
2024-01-02 12:00:00,PUMP101.VIBRATION_RMS,2.564,mm/s,GOOD
2024-01-02 18:00:00,PUMP101.VIBRATION_RMS,2.342,mm/s,GOOD
2024-01-03 00:00:00,PUMP101.VIBRATION_RMS,2.492,mm/s,GOOD
2024-01-03 06:00:00,PUMP101.VIBRATION_RMS,2.073,mm/s,GOOD
2024-01-03 12:00:00,PUMP101.VIBRATION_RMS,2.94,mm/s,GOOD
2024-01-03 18:00:00,PUMP101.VIBRATION_RMS,2.889,mm/s,GOOD
2024-01-04 00:00:00,PUMP101.VIBRATION_RMS,2.533,mm/s,GOOD
2024-01-04 06:00:00,PUMP101.VIBRATION_RMS,3.064,mm/s,GOOD
2024-01-04 12:00:00,PUMP101.VIBRATION_RMS,2.734,mm/s,GOOD
2024-01-04 18:00:00,PUMP101.VIBRATION_RMS,2.07,mm/s,GOOD
2024-01-05 00:00:00,PUMP101.VIBRATION_RMS,2.684,mm/s,GOOD
2024-01-05 06:00:00,PUMP101.VIBRATION_RMS,2.021,mm/s,GOOD
2024-01-05 12:00:00,PUMP101.VIBRATION_RMS,2.939,mm/s,GOOD
2024-01-05 18:00:00,PUMP101.VIBRATION_RMS,2.475,mm/s,GOOD
2024-01-06 00:00:00,PUMP101.VIBRATION_RMS,2.408,mm/s,GOOD
2024-01-06 06:00:00,PUMP101.VIBRATION_RMS,2.16,mm/s,GOOD
2024-01-06 12:00:00,PUMP101.VIBRATION_RMS,3.111,mm/s,GOOD
2024-01-06 18:00:00,PUMP101.VIBRATION_RMS,2.423,mm/s,GOOD
2024-01-07 00:00:00,PUMP101.VIBRATION_RMS,2.286,mm/s,GOOD
2024-01-07 06:00:00,PUMP101.VIBRATION_RMS,2.324,mm/s,GOOD
2024-01-07 12:00:00,PUMP101.VIBRATION_RMS,2.766,mm/s,GOOD
2024-01-07 18:00:00,PUMP101.VIBRATION_RMS,2.683,mm/s,GOOD
2024-01-08 00:00:00,PUMP101.VIBRATION_RMS,2.706,mm/s,GOOD
2024-01-08 06:00:00,PUMP101.VIBRATION_RMS,2.715,mm/s,GOOD
2024-01-08 12:00:00,PUMP101.VIBRATION_RMS,3.571,mm/s,GOOD
2024-01-08 18:00:00,PUMP101.VIBRATION_RMS,2.297,mm/s,GOOD
2024-01-09 00:00:00,PUMP101.VIBRATION_RMS,2.244,mm/s,GOOD
2024-01-09 06:00:00,PUMP101.VIBRATION_RMS,2.093,mm/s,GOOD
2024-01-09 12:00:00,PUMP101.VIBRATION_RMS,2.808,mm/s,GOOD
2024-01-09 18:00:00,PUMP101.VIBRATION_RMS,3.064,mm/s,GOOD
2024-01-10 00:00:00,PUMP101.VIBRATION_RMS,2.443,mm/s,GOOD
2024-01-10 06:00:00,PUMP101.VIBRATION_RMS,2.08,mm/s,GOOD
2024-01-10 12:00:00,PUMP101.VIBRATION_RMS,2.088,mm/s,GOOD
2024-01-10 18:00:00,PUMP101.VIBRATION_RMS,2.825,mm/s,GOOD
2024-01-11 00:00:00,PUMP101.VIBRATION_RMS,2.872,mm/s,GOOD
2024-01-11 06:00:00,PUMP101.VIBRATION_RMS,2.772,mm/s,GOOD
