equipo_id,inicio,fin,modo_falla,mttr_horas
1,2024-01-11 13:00:00,2024-01-12 08:00:00,Cavitación,19.0
2,2024-01-28 23:00:00,2024-01-29 12:00:00,Sello,13.0
1,2024-01-30 20:00:00,2024-01-31 07:00:00,Motor,11.0
1,2024-02-10 07:00:00,2024-02-11 00:00:00,Sello,17.0
1,2024-02-20 23:00:00,2024-02-21 12:00:00,Motor,13.0
2,2024-02-27 06:00:00,2024-02-27 17:00:00,Cavitación,11.0
2,2024-03-15 20:00:00,2024-03-16 02:00:00,Motor,6.0
1,2024-03-18 16:00:00,2024-03-19 10:00:00,Cavitación,18.0
2,2024-04-12 16:00:00,2024-04-13 08:00:00,Rodamiento,16.0
2,2024-05-11 13:00:00,2024-05-12 02:00:00,Rodamiento,13.0
