Timestamp,Tag,Value,Unit,Quality
2025-01-01 00:00:00,PUMP101.BEARING_TEMP,65.152,°C,GOOD
2025-01-01 06:00:00,PUMP101.BEARING_TEMP,64.48,°C,GOOD
2025-01-01 12:00:00,PUMP101.BEARING_TEMP,65.375,°C,GOOD
2025-01-01 18:00:00,PUMP101.BEARING_TEMP,65.47,°C,GOOD
2025-01-02 00:00:00,PUMP101.BEARING_TEMP,64.024,°C,GOOD
2025-01-02 06:00:00,PUMP101.BEARING_TEMP,64.349,°C,GOOD
2025-01-02 12:00:00,PUMP101.BEARING_TEMP,65.064,°C,GOOD
2025-01-02 18:00:00,PUMP101.BEARING_TEMP,64.842,°C,GOOD
2025-01-03 00:00:00,PUMP101.BEARING_TEMP,64.992,°C,GOOD
2025-01-03 06:00:00,PUMP101.BEARING_TEMP,64.573,°C,GOOD
2025-01-03 12:00:00,PUMP101.BEARING_TEMP,65.44,°C,GOOD
2025-01-03 18:00:00,PUMP101.BEARING_TEMP,65.389,°C,GOOD
2025-01-04 00:00:00,PUMP101.BEARING_TEMP,65.033,°C,GOOD
2025-01-04 06:00:00,PUMP101.BEARING_TEMP,65.564,°C,GOOD
2025-01-04 12:00:00,PUMP101.BEARING_TEMP,65.234,°C,GOOD
2025-01-04 18:00:00,PUMP101.BEARING_TEMP,64.57,°C,GOOD
2025-01-05 00:00:00,PUMP101.BEARING_TEMP,65.184,°C,GOOD
2025-01-05 06:00:00,PUMP101.BEARING_TEMP,64.521,°C,GOOD
2025-01-05 12:00:00,PUMP101.BEARING_TEMP,65.439,°C,GOOD
2025-01-05 18:00:00,PUMP101.BEARING_TEMP,64.975,°C,GOOD
2025-01-06 00:00:00,PUMP101.BEARING_TEMP,64.908,°C,GOOD
2025-01-06 06:00:00,PUMP101.BEARING_TEMP,64.66,°C,GOOD
2025-01-06 12:00:00,PUMP101.BEARING_TEMP,65.611,°C,GOOD
2025-01-06 18:00:00,PUMP101.BEARING_TEMP,64.923,°C,GOOD
2025-01-07 00:00:00,PUMP101.BEARING_TEMP,64.786,°C,GOOD
2025-01-07 06:00:00,PUMP101.BEARING_TEMP,64.824,°C,GOOD
2025-01-07 12:00:00,PUMP101.BEARING_TEMP,65.266,°C,GOOD
2025-01-07 18:00:00,PUMP101.BEARING_TEMP,65.183,°C,GOOD
2025-01-08 00:00:00,PUMP101.BEARING_TEMP,65.206,°C,GOOD
2025-01-08 06:00:00,PUMP101.BEARING_TEMP,65.215,°C,GOOD
2025-01-08 12:00:00,PUMP101.BEARING_TEMP,66.071,°C,GOOD
2025-01-08 18:00:00,PUMP101.BEARING_TEMP,64.797,°C,GOOD
2025-01-09 00:00:00,PUMP101.BEARING_TEMP,64.744,°C,GOOD
2025-01-09 06:00:00,PUMP101.BEARING_TEMP,64.593,°C,GOOD
2025-01-09 12:00:00,PUMP101.BEARING_TEMP,65.308,°C,GOOD
2025-01-09 18:00:00,PUMP101.BEARING_TEMP,65.564,°C,GOOD
2025-01-10 00:00:00,PUMP101.BEARING_TEMP,64.943,°C,GOOD
