Timestamp,Tag,Value,Unit,Quality
2025-01-01 00:00:00,PUMP101.VIBRATION_RMS,2.546,mm/s,GOOD
2025-01-01 01:00:00,PUMP101.VIBRATION_RMS,2.344,mm/s,GOOD
2025-01-01 02:00:00,PUMP101.VIBRATION_RMS,2.613,mm/s,GOOD
2025-01-01 03:00:00,PUMP101.VIBRATION_RMS,2.641,mm/s,GOOD
2025-01-01 04:00:00,PUMP101.VIBRATION_RMS,2.207,mm/s,GOOD
2025-01-01 05:00:00,PUMP101.VIBRATION_RMS,2.305,mm/s,GOOD
2025-01-01 06:00:00,PUMP101.VIBRATION_RMS,2.519,mm/s,GOOD
2025-01-01 07:00:00,PUMP101.VIBRATION_RMS,2.453,mm/s,GOOD
2025-01-01 08:00:00,PUMP101.VIBRATION_RMS,2.497,mm/s,GOOD
2025-01-01 09:00:00,PUMP101.VIBRATION_RMS,2.372,mm/s,GOOD
2025-01-01 10:00:00,PUMP101.VIBRATION_RMS,2.632,mm/s,GOOD
2025-01-01 11:00:00,PUMP101.VIBRATION_RMS,2.617,mm/s,GOOD
2025-01-01 12:00:00,PUMP101.VIBRATION_RMS,2.51,mm/s,GOOD
2025-01-01 13:00:00,PUMP101.VIBRATION_RMS,2.669,mm/s,GOOD
2025-01-01 14:00:00,PUMP101.VIBRATION_RMS,2.57,mm/s,GOOD
2025-01-01 15:00:00,PUMP101.VIBRATION_RMS,2.371,mm/s,GOOD
2025-01-01 16:00:00,PUMP101.VIBRATION_RMS,2.555,mm/s,GOOD
2025-01-01 17:00:00,PUMP101.VIBRATION_RMS,2.356,mm/s,BAD
2025-01-01 18:00:00,PUMP101.VIBRATION_RMS,2.632,mm/s,GOOD
2025-01-01 19:00:00,PUMP101.VIBRATION_RMS,2.493,mm/s,GOOD
2025-01-01 20:00:00,PUMP101.VIBRATION_RMS,2.472,mm/s,GOOD
2025-01-01 21:00:00,PUMP101.VIBRATION_RMS,2.398,mm/s,GOOD
2025-01-01 22:00:00,PUMP101.VIBRATION_RMS,2.683,mm/s,GOOD
2025-01-01 23:00:00,PUMP101.VIBRATION_RMS,2.477,mm/s,GOOD
2025-01-02 00:00:00,PUMP101.VIBRATION_RMS,2.436,mm/s,GOOD
2025-01-02 01:00:00,PUMP101.VIBRATION_RMS,2.447,mm/s,GOOD
2025-01-02 02:00:00,PUMP101.VIBRATION_RMS,2.58,mm/s,GOOD
2025-01-02 03:00:00,PUMP101.VIBRATION_RMS,2.555,mm/s,GOOD
